,Unnamed: 0,sex,IQR,Q25,Q75,cent,dfrange,ent,fpeak,kurt,maxdom,maxfun,meandom,meanfr,meanfun,median,mindom,minfun,mode,modindx,sfm,skew,std
425,425,0.0,1.375,0.4375,1.8125,1.3921940450202073,5.90625,0.8515197535803921,0.125,8.130884188628963,5.90625,5.333333333333333,0.4312888198757764,1.3921940450202073,1.2241541130098779,0.84375,0.0,0.06299212598425198,0.125,45.42857142857143,0.3586377689594542,2.382216283094195,1.4628794831533756
426,426,1.0,2.53125,0.4375,2.96875,1.913388742316373,7.71875,0.9011144535259584,0.21875,18.90447073982739,7.71875,5.333333333333333,0.8703508771929824,1.913388742316373,1.4266204533654707,1.0625,0.0,0.06349206349206349,0.21875,93.08906882591093,0.5646314566763081,3.6226988436386782,1.9502297829985984
427,427,1.0,1.625,0.375,2.0,1.36678960078823,4.53125,0.8470651360844969,0.125,12.505653214409465,4.53125,5.333333333333333,0.27645348837209305,1.36678960078823,1.3428168009929915,0.75,0.0,0.06425702811244981,0.125,31.193103448275863,0.3511135060014412,2.9797952093879516,1.4668638722663694
428,428,1.0,2.5,0.5,3.0,1.9711008714652476,7.96875,0.9105693637820184,0.125,12.053032368247544,7.96875,5.333333333333333,0.8258996212121212,1.9711008714652476,1.5713153574835317,1.375,0.0,0.06299212598425198,0.21875,83.70588235294117,0.5649810688570388,2.837374871162601,1.9018207407208785
429,429,1.0,1.84375,0.625,2.46875,1.818553858493174,7.9375,0.9013840057786248,0.21875,4.222167612441194,7.9375,5.333333333333333,0.82421875,1.818553858493174,0.7183836085391755,1.28125,0.0,0.06299212598425198,0.5625,46.87007874015748,0.5143394781788119,1.4992669425511735,1.7197734456496332
430,430,1.0,2.375,0.46875,2.84375,1.9086148693150733,7.96875,0.9049934898081666,0.125,9.703516087744145,7.96875,5.333333333333333,0.6243344907407408,1.9086148693150733,1.3778766910137656,1.28125,0.0,0.06274509803921569,0.21875,54.058823529411775,0.5533272935267011,2.5933139007911863,1.8974065946275984
431,431,1.0,0.90625,0.28125,1.1875,1.057023084749907,7.9375,0.7811855321506593,0.125,15.088810732942607,7.9375,5.333333333333333,0.41379892037786775,1.057023084749907,1.7925351472783175,0.5,0.0,0.0653061224489796,0.25,19.019685039370078,0.2922768527741484,3.5141990588599867,1.4567845317239707
432,432,1.0,1.53125,0.46875,2.0,1.4549864442950242,7.125,0.8501634095050473,0.1875,10.827753438745383,7.125,5.333333333333333,0.472306143001007,1.4549864442950242,0.9836838794240074,0.84375,0.0,0.06274509803921569,0.40625,30.149122807017545,0.35767647744320424,2.8015267546809324,1.4763853026748113
433,433,1.0,1.65625,0.375,2.03125,1.5586939204545611,7.65625,0.8496115437822921,0.1875,14.971844631493028,7.65625,5.333333333333333,0.7211574074074074,1.5586939204545611,1.952854160845565,0.6875,0.0,0.06274509803921569,0.1875,69.37142857142857,0.44544370878923706,3.479556821532109,1.8195949972620584
434,434,1.0,1.28125,0.3125,1.59375,1.1725324244006012,7.6875,0.8092841555217744,0.125,14.09380835046291,7.6875,5.333333333333333,0.34575782537067545,1.1725324244006012,1.7221214638595732,0.5625,0.0,0.06866952789699571,0.125,17.930894308943092,0.3095747460358314,3.350837088481467,1.4303614423654798
